model	instance_coverage	candidate_labeled_coverage	same_role_purity	seeds	mean_candidate_precision	sd_candidate_precision	mean_spatial_recall	sd_spatial_recall	mean_set_coverage_recall	sd_set_coverage_recall	mean_one_to_one_recall	sd_one_to_one_recall	mean_crop_exposure_scene_frequency_at_0.00	sd_crop_exposure_scene_frequency_at_0.00	mean_crop_exposure_scene_frequency_at_0.01	sd_crop_exposure_scene_frequency_at_0.01	mean_crop_exposure_scene_frequency_at_0.10	sd_crop_exposure_scene_frequency_at_0.10
DeepLabV3+--ResNet50	0.75	0.75	0.5	3	0.27269427776268235	0.0321610867143312	0.22390965732087229	0.015807043220245166	0.0883956386292835	0.002997430747340471	0.06172118380062305	0.0054273208196130625	0.2435897435897436	0.02220577958421636	0.2435897435897436	0.02220577958421636	0.23076923076923075	3.3993498887762956e-17
DeepLabV3+--ResNet50	0.75	0.75	0.75	3	0.27269427776268235	0.0321610867143312	0.22390965732087229	0.015807043220245166	0.0883956386292835	0.002997430747340471	0.06172118380062305	0.0054273208196130625	0.2435897435897436	0.02220577958421636	0.2435897435897436	0.02220577958421636	0.23076923076923075	3.3993498887762956e-17
DeepLabV3+--ResNet50	0.75	0.75	0.9	3	0.27269427776268235	0.0321610867143312	0.22390965732087229	0.015807043220245166	0.0883956386292835	0.002997430747340471	0.06172118380062305	0.0054273208196130625	0.2435897435897436	0.02220577958421636	0.2435897435897436	0.02220577958421636	0.23076923076923075	3.3993498887762956e-17
Mask R-CNN--ResNet50-FPN-v2	0.25	0.25	0.5	3	0.8474358974358974	0.006181827410892898	0.2579828660436137	0.0027604063237456782	0.2572040498442368	0.002881356812100624	0.2422118380062305	0.00442282581448619	0.23076923076923075	0.07692307692307693	0.20512820512820515	0.05875097044815178	0.15384615384615385	0.06661733875264912
Mask R-CNN--ResNet50-FPN-v2	0.25	0.25	0.75	3	0.8474358974358974	0.006181827410892898	0.2579828660436137	0.0027604063237456782	0.2572040498442368	0.002881356812100624	0.2422118380062305	0.00442282581448619	0.23076923076923075	0.07692307692307693	0.20512820512820515	0.05875097044815178	0.15384615384615385	0.06661733875264912
Mask R-CNN--ResNet50-FPN-v2	0.25	0.25	0.9	3	0.8455128205128205	0.006181827410892898	0.2579828660436137	0.0027604063237456782	0.2562305295950156	0.00370961037446605	0.2416277258566978	0.004384084988005341	0.23076923076923075	0.07692307692307693	0.20512820512820515	0.05875097044815178	0.15384615384615385	0.06661733875264912
Mask R-CNN--ResNet50-FPN-v2	0.25	0.5	0.5	3	0.791025641025641	0.012363654821785836	0.2579828660436137	0.0027604063237456782	0.2408489096573209	0.007303348650121125	0.22683021806853584	0.0035689841861026796	0.23076923076923075	0.07692307692307693	0.20512820512820515	0.05875097044815178	0.15384615384615385	0.06661733875264912
Mask R-CNN--ResNet50-FPN-v2	0.25	0.5	0.75	3	0.791025641025641	0.012363654821785836	0.2579828660436137	0.0027604063237456782	0.2408489096573209	0.007303348650121125	0.22683021806853584	0.0035689841861026796	0.23076923076923075	0.07692307692307693	0.20512820512820515	0.05875097044815178	0.15384615384615385	0.06661733875264912
Mask R-CNN--ResNet50-FPN-v2	0.25	0.5	0.9	3	0.7891025641025641	0.014175220761215364	0.2579828660436137	0.0027604063237456782	0.2398753894080997	0.0076233535632600855	0.2262461059190031	0.004144041404554658	0.23076923076923075	0.07692307692307693	0.20512820512820515	0.05875097044815178	0.15384615384615385	0.06661733875264912
Mask R-CNN--ResNet50-FPN-v2	0.25	0.75	0.5	3	0.5064102564102564	0.02728691878691378	0.2579828660436137	0.0027604063237456782	0.15673676012461057	0.01093294014125113	0.14758566978193147	0.007887316627931887	0.23076923076923075	0.07692307692307693	0.20512820512820515	0.05875097044815178	0.15384615384615385	0.06661733875264912
Mask R-CNN--ResNet50-FPN-v2	0.25	0.75	0.75	3	0.5064102564102564	0.02728691878691378	0.2579828660436137	0.0027604063237456782	0.15673676012461057	0.01093294014125113	0.14758566978193147	0.007887316627931887	0.23076923076923075	0.07692307692307693	0.20512820512820515	0.05875097044815178	0.15384615384615385	0.06661733875264912
Mask R-CNN--ResNet50-FPN-v2	0.25	0.75	0.9	3	0.5051282051282051	0.029375485224075903	0.2579828660436137	0.0027604063237456782	0.15634735202492211	0.01159919860483371	0.14719626168224298	0.008484719069120301	0.23076923076923075	0.07692307692307693	0.20512820512820515	0.05875097044815178	0.15384615384615385	0.06661733875264912
Mask R-CNN--ResNet50-FPN-v2	0.5	0.25	0.5	3	0.8474358974358974	0.006181827410892898	0.24143302180685358	0.004102668906874113	0.24084890965732086	0.004102668906874113	0.2297507788161994	0.006300112806605702	0.23076923076923075	0.07692307692307693	0.20512820512820515	0.05875097044815178	0.15384615384615385	0.06661733875264912
