variant	global_N	images	weed_instances	accepted_candidates	mean_candidates_per_image	all_candidate_precision	many_to_one_spatial_recall	many_to_one_role_qualified_recall	one_to_one_role_qualified_recall	crop_overlap_scene_frequency
original_T095_A032	34	26	1712	34	1.3076923076923077	0.8235294117647058	0.016939252336448597	0.015771028037383176	0.009929906542056074	0.23076923076923078
commissioned_T070_A032	34	26	1712	34	1.3076923076923077	0.8235294117647058	0.0905373831775701	0.02570093457943925	0.013434579439252336	0.15384615384615385
original_T095_A032	35	26	1712	35	1.3461538461538463	0.8	0.016939252336448597	0.015771028037383176	0.009929906542056074	0.2692307692307692
commissioned_T070_A032	35	26	1712	35	1.3461538461538463	0.8	0.0905373831775701	0.02570093457943925	0.013434579439252336	0.15384615384615385
original_T095_A032	36	26	1712	36	1.3846153846153846	0.8055555555555556	0.017523364485981307	0.016355140186915886	0.010514018691588784	0.2692307692307692
commissioned_T070_A032	36	26	1712	36	1.3846153846153846	0.7777777777777778	0.0905373831775701	0.02570093457943925	0.013434579439252336	0.19230769230769232
original_T095_A032	37	26	1712	37	1.4230769230769231	0.7837837837837838	0.017523364485981307	0.016355140186915886	0.010514018691588784	0.2692307692307692
commissioned_T070_A032	37	26	1712	37	1.4230769230769231	0.7837837837837838	0.0911214953271028	0.026285046728971962	0.014018691588785047	0.19230769230769232
original_T095_A032	38	26	1712	38	1.4615384615384615	0.7894736842105263	0.018107476635514017	0.016939252336448597	0.011098130841121495	0.2692307692307692
commissioned_T070_A032	38	26	1712	38	1.4615384615384615	0.7894736842105263	0.09170560747663552	0.026869158878504672	0.014602803738317757	0.19230769230769232
original_T095_A032	39	26	1712	39	1.5	0.7692307692307693	0.018107476635514017	0.016939252336448597	0.011098130841121495	0.2692307692307692
commissioned_T070_A032	39	26	1712	39	1.5	0.7948717948717948	0.09228971962616822	0.027453271028037383	0.015186915887850467	0.19230769230769232
original_T095_A032	40	26	1712	40	1.5384615384615385	0.775	0.018107476635514017	0.016939252336448597	0.011098130841121495	0.2692307692307692
commissioned_T070_A032	40	26	1712	40	1.5384615384615385	0.8	0.09287383177570094	0.028037383177570093	0.015771028037383176	0.19230769230769232
original_T095_A032	41	26	1712	41	1.5769230769230769	0.7804878048780488	0.018107476635514017	0.016939252336448597	0.011098130841121495	0.2692307692307692
commissioned_T070_A032	41	26	1712	41	1.5769230769230769	0.8048780487804879	0.09287383177570094	0.028037383177570093	0.015771028037383176	0.19230769230769232
original_T095_A032	42	26	1712	42	1.6153846153846154	0.7619047619047619	0.035630841121495324	0.016939252336448597	0.011098130841121495	0.3076923076923077
commissioned_T070_A032	42	26	1712	42	1.6153846153846154	0.8095238095238095	0.09287383177570094	0.028037383177570093	0.015771028037383176	0.19230769230769232
original_T095_A032	43	26	1712	43	1.6538461538461537	0.7674418604651163	0.035630841121495324	0.016939252336448597	0.011098130841121495	0.3076923076923077
commissioned_T070_A032	43	26	1712	43	1.6538461538461537	0.813953488372093	0.09345794392523364	0.028621495327102803	0.016355140186915886	0.19230769230769232
original_T095_A032	44	26	1712	44	1.6923076923076923	0.7727272727272727	0.035630841121495324	0.016939252336448597	0.011098130841121495	0.3076923076923077
commissioned_T070_A032	44	26	1712	44	1.6923076923076923	0.8181818181818182	0.09345794392523364	0.028621495327102803	0.016355140186915886	0.19230769230769232
original_T095_A032	45	26	1712	45	1.7307692307692308	0.7777777777777778	0.037967289719626166	0.019275700934579438	0.011682242990654205	0.3076923076923077
commissioned_T070_A032	45	26	1712	45	1.7307692307692308	0.8	0.09345794392523364	0.028621495327102803	0.016355140186915886	0.23076923076923078
original_T095_A032	46	26	1712	46	1.7692307692307692	0.782608695652174	0.037967289719626166	0.019275700934579438	0.011682242990654205	0.3076923076923077
commissioned_T070_A032	46	26	1712	46	1.7692307692307692	0.8043478260869565	0.09404205607476636	0.029205607476635514	0.016939252336448597	0.23076923076923078
original_T095_A032	47	26	1712	47	1.8076923076923077	0.7872340425531915	0.0397196261682243	0.02102803738317757	0.012266355140186916	0.3076923076923077
commissioned_T070_A032	47	26	1712	47	1.8076923076923077	0.8085106382978723	0.09462616822429906	0.029789719626168224	0.017523364485981307	0.23076923076923078
original_T095_A032	48	26	1712	48	1.8461538461538463	0.7916666666666666	0.04030373831775701	0.02161214953271028	0.012850467289719626	0.3076923076923077
commissioned_T070_A032	48	26	1712	48	1.8461538461538463	0.8125	0.09521028037383178	0.030373831775700934	0.018107476635514017	0.23076923076923078
original_T095_A032	49	26	1712	49	1.8846153846153846	0.7959183673469388	0.04030373831775701	0.02161214953271028	0.012850467289719626	0.3076923076923077
commissioned_T070_A032	49	26	1712	49	1.8846153846153846	0.8163265306122449	0.09579439252336448	0.030957943925233645	0.018691588785046728	0.23076923076923078
original_T095_A032	50	26	1712	50	1.9230769230769231	0.8	0.04088785046728972	0.02219626168224299	0.013434579439252336	0.3076923076923077
commissioned_T070_A032	50	26	1712	50	1.9230769230769231	0.82	0.0963785046728972	0.03154205607476635	0.019275700934579438	0.23076923076923078
