model	seed	instance_coverage	candidate_labeled_coverage	same_role_purity	weed_instances	accepted_candidates	candidate_precision	spatial_recall	set_coverage_recall	one_to_one_recall	crop_exposure_scene_frequency_at_0.00	crop_exposure_scene_frequency_at_0.01	crop_exposure_scene_frequency_at_0.10
DeepLabV3+--ResNet50	20260820	0.5	0.5	0.5	1712	514	0.6848249027237354	0.276285046728972	0.2435747663551402	0.19450934579439252	0.2692307692307692	0.2692307692307692	0.23076923076923078
DeepLabV3+--ResNet50	20260820	0.5	0.5	0.75	1712	514	0.6848249027237354	0.276285046728972	0.2435747663551402	0.19450934579439252	0.2692307692307692	0.2692307692307692	0.23076923076923078
DeepLabV3+--ResNet50	20260820	0.5	0.5	0.9	1712	514	0.6848249027237354	0.276285046728972	0.2435747663551402	0.19450934579439252	0.2692307692307692	0.2692307692307692	0.23076923076923078
DeepLabV3+--ResNet50	20260820	0.5	0.75	0.5	1712	514	0.2529182879377432	0.276285046728972	0.10105140186915888	0.07301401869158879	0.2692307692307692	0.2692307692307692	0.23076923076923078
DeepLabV3+--ResNet50	20260820	0.5	0.75	0.75	1712	514	0.2529182879377432	0.276285046728972	0.10105140186915888	0.07301401869158879	0.2692307692307692	0.2692307692307692	0.23076923076923078
DeepLabV3+--ResNet50	20260820	0.5	0.75	0.9	1712	514	0.2529182879377432	0.276285046728972	0.10105140186915888	0.07301401869158879	0.2692307692307692	0.2692307692307692	0.23076923076923078
DeepLabV3+--ResNet50	20260820	0.75	0.25	0.5	1712	514	0.7859922178988327	0.22897196261682243	0.22780373831775702	0.1816588785046729	0.2692307692307692	0.2692307692307692	0.23076923076923078
DeepLabV3+--ResNet50	20260820	0.75	0.25	0.75	1712	514	0.7859922178988327	0.22897196261682243	0.22780373831775702	0.1816588785046729	0.2692307692307692	0.2692307692307692	0.23076923076923078
DeepLabV3+--ResNet50	20260820	0.75	0.25	0.9	1712	514	0.7859922178988327	0.22897196261682243	0.22780373831775702	0.1816588785046729	0.2692307692307692	0.2692307692307692	0.23076923076923078
DeepLabV3+--ResNet50	20260820	0.75	0.5	0.5	1712	514	0.6848249027237354	0.22897196261682243	0.205607476635514	0.16121495327102803	0.2692307692307692	0.2692307692307692	0.23076923076923078
DeepLabV3+--ResNet50	20260820	0.75	0.5	0.75	1712	514	0.6848249027237354	0.22897196261682243	0.205607476635514	0.16121495327102803	0.2692307692307692	0.2692307692307692	0.23076923076923078
DeepLabV3+--ResNet50	20260820	0.75	0.5	0.9	1712	514	0.6848249027237354	0.22897196261682243	0.205607476635514	0.16121495327102803	0.2692307692307692	0.2692307692307692	0.23076923076923078
DeepLabV3+--ResNet50	20260820	0.75	0.75	0.5	1712	514	0.2529182879377432	0.22897196261682243	0.08761682242990654	0.06016355140186916	0.2692307692307692	0.2692307692307692	0.23076923076923078
DeepLabV3+--ResNet50	20260820	0.75	0.75	0.75	1712	514	0.2529182879377432	0.22897196261682243	0.08761682242990654	0.06016355140186916	0.2692307692307692	0.2692307692307692	0.23076923076923078
DeepLabV3+--ResNet50	20260820	0.75	0.75	0.9	1712	514	0.2529182879377432	0.22897196261682243	0.08761682242990654	0.06016355140186916	0.2692307692307692	0.2692307692307692	0.23076923076923078
DeepLabV3+--ResNet50	20260821	0.25	0.25	0.5	1712	510	0.7745098039215687	0.2727803738317757	0.27044392523364486	0.22546728971962618	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260821	0.25	0.25	0.75	1712	510	0.7745098039215687	0.2727803738317757	0.27044392523364486	0.22546728971962618	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260821	0.25	0.25	0.9	1712	510	0.7745098039215687	0.2727803738317757	0.27044392523364486	0.22546728971962618	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260821	0.25	0.5	0.5	1712	510	0.6862745098039216	0.2727803738317757	0.24299065420560748	0.1991822429906542	0.23076923076923078	0.23076923076923078	0.23076923076923078
