variant	setting	official_split	truth_role	minimum_instance_coverage	minimum_candidate_labeled_coverage	minimum_same_role_purity	truth_instances	recalled_instances	role_qualified_proposal_recall
original_T095_A032	T095_A032	test	crop	0.5	0.25	0.5	256	136	0.53125
original_T095_A032	T095_A032	test	weed	0.5	0.25	0.5	1712	454	0.2651869158878505
original_T095_A032	T095_A032	test	crop	0.5	0.25	0.75	256	119	0.46484375
original_T095_A032	T095_A032	test	weed	0.5	0.25	0.75	1712	407	0.23773364485981308
original_T095_A032	T095_A032	test	crop	0.5	0.25	0.9	256	105	0.41015625
original_T095_A032	T095_A032	test	weed	0.5	0.25	0.9	1712	346	0.20210280373831777
original_T095_A032	T095_A032	test	crop	0.5	0.5	0.5	256	125	0.48828125
original_T095_A032	T095_A032	test	weed	0.5	0.5	0.5	1712	438	0.2558411214953271
original_T095_A032	T095_A032	test	crop	0.5	0.5	0.75	256	110	0.4296875
original_T095_A032	T095_A032	test	weed	0.5	0.5	0.75	1712	391	0.2283878504672897
original_T095_A032	T095_A032	test	crop	0.5	0.5	0.9	256	96	0.375
original_T095_A032	T095_A032	test	weed	0.5	0.5	0.9	1712	330	0.1927570093457944
original_T095_A032	T095_A032	test	crop	0.5	0.75	0.5	256	61	0.23828125
original_T095_A032	T095_A032	test	weed	0.5	0.75	0.5	1712	319	0.1863317757009346
original_T095_A032	T095_A032	test	crop	0.5	0.75	0.75	256	58	0.2265625
original_T095_A032	T095_A032	test	weed	0.5	0.75	0.75	1712	272	0.1588785046728972
original_T095_A032	T095_A032	test	crop	0.5	0.75	0.9	256	47	0.18359375
original_T095_A032	T095_A032	test	weed	0.5	0.75	0.9	1712	211	0.12324766355140188
original_T095_A032	T095_A032	test	crop	0.75	0.25	0.5	256	94	0.3671875
original_T095_A032	T095_A032	test	weed	0.75	0.25	0.5	1712	268	0.15654205607476634
original_T095_A032	T095_A032	test	crop	0.75	0.25	0.75	256	78	0.3046875
original_T095_A032	T095_A032	test	weed	0.75	0.25	0.75	1712	232	0.13551401869158877
original_T095_A032	T095_A032	test	crop	0.75	0.25	0.9	256	65	0.25390625
original_T095_A032	T095_A032	test	weed	0.75	0.25	0.9	1712	176	0.102803738317757
original_T095_A032	T095_A032	test	crop	0.75	0.5	0.5	256	85	0.33203125
original_T095_A032	T095_A032	test	weed	0.75	0.5	0.5	1712	258	0.15070093457943926
original_T095_A032	T095_A032	test	crop	0.75	0.5	0.75	256	70	0.2734375
original_T095_A032	T095_A032	test	weed	0.75	0.5	0.75	1712	222	0.12967289719626168
original_T095_A032	T095_A032	test	crop	0.75	0.5	0.9	256	57	0.22265625
original_T095_A032	T095_A032	test	weed	0.75	0.5	0.9	1712	166	0.0969626168224299
original_T095_A032	T095_A032	test	crop	0.75	0.75	0.5	256	41	0.16015625
original_T095_A032	T095_A032	test	weed	0.75	0.75	0.5	1712	190	0.11098130841121495
original_T095_A032	T095_A032	test	crop	0.75	0.75	0.75	256	38	0.1484375
original_T095_A032	T095_A032	test	weed	0.75	0.75	0.75	1712	154	0.08995327102803738
original_T095_A032	T095_A032	test	crop	0.75	0.75	0.9	256	27	0.10546875
original_T095_A032	T095_A032	test	weed	0.75	0.75	0.9	1712	98	0.05724299065420561
training_selected_commissioned	T070_A032	train	crop	0.25	0.25	0.5	1461	1198	0.8199863107460643
training_selected_commissioned	T070_A032	train	weed	0.25	0.25	0.5	6509	3117	0.4788754032877554
training_selected_commissioned	T070_A032	train	crop	0.25	0.25	0.75	1461	1062	0.7268993839835729
training_selected_commissioned	T070_A032	train	weed	0.25	0.25	0.75	6509	2935	0.4509141189122753
training_selected_commissioned	T070_A032	train	crop	0.25	0.25	0.9	1461	945	0.6468172484599589
training_selected_commissioned	T070_A032	train	weed	0.25	0.25	0.9	6509	2805	0.4309417729297895
