variant	model	held_out_date	k	images	accepted_candidates	eligible_weed_candidates	eligible_crop_candidates	ambiguous_or_background_candidates	all_candidate_precision	queued_spatial_weed_instance_recall	queued_role_qualified_weed_instance_recall	pure_crop_scene_frequency	crop_overlap_scene_frequency_0.00	crop_overlap_scene_frequency_0.01	crop_overlap_scene_frequency_0.10	crop_overlap_scene_frequency_0.50
original	role_plus_local	2023-06-06	5	48	240	184	1	55	0.7666666666666667	0.023063901819720695	0.021159542953872196	0.020833333333333332	0.08333333333333333	0.08333333333333333	0.08333333333333333	0.041666666666666664
original	role_plus_local	2023-06-06	10	48	480	379	7	94	0.7895833333333333	0.05438002539145154	0.047608971646212445	0.125	0.2916666666666667	0.2916666666666667	0.25	0.16666666666666666
original	role_plus_local	2023-06-06	20	48	960	785	37	138	0.8177083333333334	0.141557342361405	0.1184934405416843	0.375	0.6458333333333334	0.6458333333333334	0.625	0.5
original	role_only	2023-06-15	1	12	12	8	0	4	0.6666666666666666	0.06858594411515664	0.003386960203217612	0.0	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.08333333333333333
original	role_only	2023-06-15	5	12	60	42	7	11	0.7	0.12108382726502964	0.00846740050804403	0.16666666666666666	0.8333333333333334	0.8333333333333334	0.5833333333333334	0.25
original	role_only	2023-06-15	10	12	120	80	14	26	0.6666666666666666	0.14733276883996613	0.012701100762066046	0.4166666666666667	0.9166666666666666	0.9166666666666666	0.9166666666666666	0.5
original	role_only	2023-06-15	20	12	238	164	33	41	0.6890756302521008	0.18543607112616428	0.027095681625740897	0.75	1.0	1.0	1.0	0.75
original	local_only	2023-06-15	1	12	12	8	1	3	0.6666666666666666	0.06096528365791702	0.0	0.08333333333333333	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.08333333333333333
original	local_only	2023-06-15	5	12	60	41	9	10	0.6833333333333333	0.11854360711261643	0.01100762066045724	0.5	0.75	0.75	0.75	0.5
original	local_only	2023-06-15	10	12	120	82	20	18	0.6833333333333333	0.1397121083827265	0.01693480101608806	0.6666666666666666	0.9166666666666666	0.9166666666666666	0.9166666666666666	0.6666666666666666
original	local_only	2023-06-15	20	12	238	153	47	38	0.6428571428571429	0.17696867061812024	0.029635901778154106	0.75	1.0	1.0	1.0	0.8333333333333334
original	role_plus_local	2023-06-15	1	12	12	8	1	3	0.6666666666666666	0.0	0.0	0.08333333333333333	0.08333333333333333	0.08333333333333333	0.08333333333333333	0.08333333333333333
original	role_plus_local	2023-06-15	5	12	60	42	7	11	0.7	0.12362404741744284	0.011854360711261643	0.5	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.5
original	role_plus_local	2023-06-15	10	12	120	85	18	17	0.7083333333333334	0.1354784081287045	0.017781541066892465	0.5	0.75	0.75	0.75	0.5
original	role_plus_local	2023-06-15	20	12	238	155	43	40	0.6512605042016807	0.17527519051651144	0.028789161727349702	0.75	1.0	1.0	1.0	0.8333333333333334
